"sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","arc_length","Points:0","Points:1","Points:2"
-7.7298e+07,-4.9338e+06,3.6837e+07,-1.3413e+06,-6.7857e-09,-1.7802e-08,0.081,0,0.581,0
-7.6364e+07,-4.7604e+06,3.72e+07,-1.3851e+06,-6.7011e-09,-1.7614e-08,0.0815,0,0.5815,0
-7.5431e+07,-4.5869e+06,3.7563e+07,-1.4288e+06,-6.6165e-09,-1.7425e-08,0.082,0,0.582,0
-7.4497e+07,-4.4134e+06,3.7925e+07,-1.4726e+06,-6.5318e-09,-1.7237e-08,0.0825,0,0.5825,0
-7.3563e+07,-4.24e+06,3.8288e+07,-1.5164e+06,-6.4472e-09,-1.7049e-08,0.083,0,0.583,0
-7.263e+07,-4.0665e+06,3.865e+07,-1.5601e+06,-6.3625e-09,-1.6861e-08,0.0835,0,0.5835,0
-7.1696e+07,-3.893e+06,3.9013e+07,-1.6039e+06,-6.2779e-09,-1.6673e-08,0.084,0,0.584,0
-7.0762e+07,-3.7196e+06,3.9376e+07,-1.6476e+06,-6.1933e-09,-1.6485e-08,0.0845,0,0.5845,0
-6.9829e+07,-3.5461e+06,3.9738e+07,-1.6914e+06,-6.1086e-09,-1.6297e-08,0.085,0,0.585,0
-6.8895e+07,-3.3726e+06,4.0101e+07,-1.7351e+06,-6.024e-09,-1.6108e-08,0.0855,0,0.5855,0
-6.7962e+07,-3.1992e+06,4.0464e+07,-1.7789e+06,-5.9394e-09,-1.592e-08,0.086,0,0.586,0
-6.7028e+07,-3.0257e+06,4.0826e+07,-1.8227e+06,-5.8547e-09,-1.5732e-08,0.0865,0,0.5865,0
-6.6094e+07,-2.8522e+06,4.1189e+07,-1.8664e+06,-5.7701e-09,-1.5544e-08,0.087,0,0.587,0
-6.5161e+07,-2.6788e+06,4.1551e+07,-1.9102e+06,-5.6854e-09,-1.5356e-08,0.0875,0,0.5875,0
-6.4227e+07,-2.5053e+06,4.1914e+07,-1.9539e+06,-5.6008e-09,-1.5168e-08,0.088,0,0.588,0
-6.3294e+07,-2.3318e+06,4.2277e+07,-1.9977e+06,-5.5162e-09,-1.498e-08,0.0885,0,0.5885,0
-6.236e+07,-2.1584e+06,4.2639e+07,-2.0415e+06,-5.4315e-09,-1.4791e-08,0.089,0,0.589,0
-6.1426e+07,-1.9849e+06,4.3002e+07,-2.0852e+06,-5.3469e-09,-1.4603e-08,0.0895,0,0.5895,0
-6.0493e+07,-1.8114e+06,4.3364e+07,-2.129e+06,-5.2623e-09,-1.4415e-08,0.09,0,0.59,0
-5.9559e+07,-1.638e+06,4.3727e+07,-2.1727e+06,-5.1776e-09,-1.4227e-08,0.0905,0,0.5905,0
-5.8625e+07,-1.4645e+06,4.409e+07,-2.2165e+06,-5.093e-09,-1.4039e-08,0.091,0,0.591,0
-5.7692e+07,-1.291e+06,4.4452e+07,-2.2602e+06,-5.0083e-09,-1.3851e-08,0.0915,0,0.5915,0
-5.6758e+07,-1.1176e+06,4.4815e+07,-2.304e+06,-4.9237e-09,-1.3663e-08,0.092,0,0.592,0
-5.5825e+07,-9.4412e+05,4.5177e+07,-2.3478e+06,-4.8391e-09,-1.3475e-08,0.0925,0,0.5925,0
-5.4891e+07,-7.7064e+05,4.554e+07,-2.3915e+06,-4.7544e-09,-1.3286e-08,0.093,0,0.593,0
-5.3957e+07,-5.9717e+05,4.5903e+07,-2.4353e+06,-4.6698e-09,-1.3098e-08,0.0935,0,0.5935,0
-5.3024e+07,-4.2371e+05,4.6265e+07,-2.479e+06,-4.5852e-09,-1.291e-08,0.094,0,0.594,0
-5.209e+07,-2.5024e+05,4.6628e+07,-2.5228e+06,-4.5005e-09,-1.2722e-08,0.0945,0,0.5945,0
-5.1157e+07,-76765,4.699e+07,-2.5665e+06,-4.4159e-09,-1.2534e-08,0.095,0,0.595,0
-5.0223e+07,96689,4.7353e+07,-2.6103e+06,-4.3312e-09,-1.2346e-08,0.0955,0,0.5955,0
-4.9289e+07,2.7016e+05,4.7716e+07,-2.6541e+06,-4.2466e-09,-1.2158e-08,0.096,0,0.596,0
-4.8356e+07,4.4362e+05,4.8078e+07,-2.6978e+06,-4.162e-09,-1.1969e-08,0.0965,0,0.5965,0
-4.7422e+07,6.1709e+05,4.8441e+07,-2.7416e+06,-4.0773e-09,-1.1781e-08,0.097,0,0.597,0
-4.6488e+07,7.9057e+05,4.8804e+07,-2.7853e+06,-3.9927e-09,-1.1593e-08,0.0975,0,0.5975,0
-4.5555e+07,9.6402e+05,4.9166e+07,-2.8291e+06,-3.9081e-09,-1.1405e-08,0.098,0,0.598,0
-4.4621e+07,1.1375e+06,4.9529e+07,-2.8728e+06,-3.8234e-09,-1.1217e-08,0.0985,0,0.5985,0
-4.3688e+07,1.3109e+06,4.9891e+07,-2.9166e+06,-3.7388e-09,-1.1029e-08,0.099,0,0.599,0
-4.2754e+07,1.4844e+06,5.0254e+07,-2.9604e+06,-3.6541e-09,-1.0841e-08,0.0995,0,0.5995,0
-4.182e+07,1.6579e+06,5.0617e+07,-3.0041e+06,-3.5695e-09,-1.0652e-08,0.1,0,0.6,0
-4.0964e+07,1.8671e+06,5.0864e+07,-3.0408e+06,-3.423e-09,-1.059e-08,0.1005,0,0.6005,0
-4.0107e+07,2.0764e+06,5.1111e+07,-3.0776e+06,-3.2765e-09,-1.0528e-08,0.101,0,0.601,0
-3.925e+07,2.2856e+06,5.1358e+07,-3.1143e+06,-3.1299e-09,-1.0465e-08,0.1015,0,0.6015,0
-3.8393e+07,2.4949e+06,5.1605e+07,-3.151e+06,-2.9834e-09,-1.0403e-08,0.102,0,0.602,0
-3.7536e+07,2.7042e+06,5.1852e+07,-3.1877e+06,-2.8369e-09,-1.034e-08,0.1025,0,0.6025,0
-3.6679e+07,2.9134e+06,5.21e+07,-3.2244e+06,-2.6904e-09,-1.0278e-08,0.103,0,0.603,0
-3.5823e+07,3.1227e+06,5.2347e+07,-3.2611e+06,-2.5438e-09,-1.0215e-08,0.1035,0,0.6035,0
-3.4966e+07,3.3319e+06,5.2594e+07,-3.2979e+06,-2.3973e-09,-1.0153e-08,0.104,0,0.604,0
-3.4109e+07,3.5412e+06,5.2841e+07,-3.3346e+06,-2.2508e-09,-1.0091e-08,0.1045,0,0.6045,0
